"Course","Area B","Writing","Area C","Area E","Quant. Relationships","IGETC Category","AHI","Area D","Area F","Ethnicity","Euro Trad","World Cult","Area G"
"ENGL 104",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 105",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 113",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 114",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 115",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 116",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 119",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 120",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 121",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 122",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 124",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 126",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 128",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 131",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 133",0,1,0,0,0,0,1,0,0,0,0,0,1
"ENGL 134",0,1,0,0,0,0,1,0,0,1,0,0,1
"ENGL 136",0,0,0,0,0,0,0,0,0,0,0,0,1
"ENGL 137",0,1,0,0,0,0,1,0,0,0,0,0,1
"ENGL 140",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 15",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 150",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 152",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 156",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 157",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 162",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 165",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 170",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 171",0,1,0,1,0,0,0,0,0,0,0,0,0
"ENGL 172",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 179",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 18",0,1,0,0,0,0,0,0,0,0,0,0,0
"ENGL 180",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 181",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 184",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 185",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 187",0,1,0,0,0,0,0,0,0,1,0,0,1
"ENGL 189",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 190",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 191",0,1,0,0,0,0,1,0,0,1,0,0,1
"ENGL 192",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 193",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 22",0,0,0,1,0,0,0,0,0,0,1,0,1
"ENGL 23",0,0,0,1,0,0,0,0,0,0,0,0,1
"ENGL 25",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENGL 34",0,0,0,1,0,0,0,0,0,0,0,0,1
"ENGL 36",0,1,0,0,0,0,0,0,0,0,0,1,0
"ENGL 38",0,1,0,0,0,0,0,0,0,1,0,0,1
"ENGL 50",0,1,0,0,0,0,0,0,0,1,0,0,1
"ENGL 65",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENV S 1",0,1,0,0,0,0,0,1,0,0,0,0,0
"ENV S 106",0,1,0,0,0,0,0,0,0,0,0,0,0
